breed,sex,category_simple,bmi_ref,bmi_ideal_min,bmi_ideal_max,puppy_adj_min,puppy_adj_max,senior_note,notes
Akita,U,giant_general,104.4536271808999,88,102,79.2,91.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Great Dane,F,giant_general,90.02770083102493,88,102,79.2,91.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Great Dane,M,giant_general,103.64273738759333,88,102,79.2,91.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Rottweiler,M,giant_general,124.26035502958578,88,102,79.2,91.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Alaskan Malamute,U,large_general,103.46680999731255,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
American Foxhound,U,large_general,78.89546351084815,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Australian Shepherd,M,large_general,92.5847992593216,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Belgian Laekenois,U,large_general,67.18624025799517,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Belgian Malinois,U,large_general,67.18624025799517,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Belgian Sheepdog (Groenendael),U,large_general,67.18624025799517,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Belgian Tervuren,U,large_general,67.18624025799517,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Black and Tan Coonhound,U,large_general,73.16014632029264,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
