breed,sex,height_min_cm,height_max_cm,weight_min_kg,weight_max_kg,size_category,imc_ref,imc_normal_min,imc_normal_max,imc_overweight_start,imc_obesity_start,sources
Australian Shepherd,F,45.72,53.34,18.14,24.95,medium,87.82,70.26,105.39,105.39,114.17,AKC breed page
Australian Shepherd,M,50.8,58.42,22.68,29.48,large,87.45,71.71,103.19,103.19,113.69,AKC breed page
Beagle (13–16 in variety),F,33.02,40.64,9.07,10.43,small,71.88,56.07,87.69,87.69,93.44,Wikipedia; AKC allows two varieties by height
Beagle (13–16 in variety),M,33.02,40.64,9.98,11.34,medium,78.59,62.87,94.31,94.31,102.16,Wikipedia; AKC allows two varieties by height
Border Collie,F,45.72,53.34,13.61,20.41,medium,69.34,55.47,83.2,83.2,90.14,AKC breed page
Border Collie,M,48.26,55.88,18.14,24.95,medium,79.46,63.57,95.36,95.36,103.3,AKC breed page
Boxer,F,53.34,60.96,25.0,27.0,large,79.61,65.28,93.93,93.93,103.49,Wikipedia (height & weight)
Boxer,M,55.88,63.5,30.0,32.0,large,87.01,71.35,102.67,102.67,113.11,Wikipedia (height & weight)
Chihuahua,U,13.0,20.0,1.0,3.0,toy,73.46,55.1,91.83,91.83,95.5,FCI standard (weight); typical height
Dachshund (Standard),U,20.32,22.86,7.26,14.51,medium,233.52,186.82,280.22,280.22,303.58,AKC standard (weight); typical height
Doberman Pinscher,F,60.96,66.04,27.22,40.82,large,84.37,69.18,99.56,99.56,109.68,AKC breed page
Doberman Pinscher,M,66.04,71.12,34.02,45.36,large,84.39,69.2,99.58,99.58,109.71,AKC breed page
English Cocker Spaniel,F,38.1,40.64,11.79,14.51,medium,84.84,67.87,101.81,101.81,110.29,AKC standard PDF
English Cocker Spaniel,M,40.64,43.18,12.7,15.42,medium,80.05,64.04,96.06,96.06,104.06,AKC standard PDF
French Bulldog,F,24.0,32.0,8.0,13.0,medium,133.93,107.14,160.71,160.71,174.11,FCI standard
French Bulldog,M,27.0,35.0,9.0,14.0,medium,119.67,95.73,143.6,143.6,155.57,FCI standard
German Shepherd Dog,F,55.88,60.96,22.68,31.75,large,79.74,65.39,94.1,94.1,103.66,AKC breed page
German Shepherd Dog,M,60.96,66.04,29.48,40.82,large,87.17,71.48,102.86,102.86,113.32,AKC breed page
Golden Retriever,F,54.61,57.15,24.95,29.48,large,87.16,71.47,102.84,102.84,113.3,AKC breed page
Golden Retriever,M,58.42,60.96,29.48,34.02,large,89.11,73.07,105.15,105.15,115.85,AKC breed page
Great Dane,F,71.12,76.2,49.9,63.5,giant,104.5,88.83,120.18,120.18,135.85,AKC breed page
Great Dane,M,76.2,81.28,63.5,79.38,giant,115.23,97.94,132.51,132.51,149.79,AKC breed page
Labrador Retriever,F,54.61,59.69,24.95,31.75,large,86.8,71.18,102.42,102.42,112.84,AKC standard PDF
Labrador Retriever,M,57.15,62.23,29.48,36.29,large,92.3,75.68,108.91,108.91,119.99,AKC standard PDF
Miniature Schnauzer,U,30.48,35.56,4.99,9.07,small,64.48,50.29,78.66,78.66,83.82,AKC breed page
Pug,U,25.4,33.02,6.35,8.16,small,85.03,66.32,103.74,103.74,110.54,AKC breed page
Rottweiler,F,55.88,63.5,36.29,45.36,large,114.58,93.96,135.21,135.21,148.96,AKC breed page
Rottweiler,M,60.96,68.58,43.09,61.23,giant,124.33,105.68,142.98,142.98,161.63,AKC breed page
Shiba Inu,F,34.29,39.37,7.71,7.71,small,56.84,44.33,69.34,69.34,73.89,AKC standard PDF (avg weight)
Shiba Inu,M,36.83,41.91,10.43,10.43,medium,67.29,53.83,80.75,80.75,87.48,AKC standard PDF (avg weight)
Shih Tzu,U,22.86,26.67,4.08,7.26,small,92.45,72.11,112.79,112.79,120.18,AKC breed page
Siberian Husky,F,50.8,55.88,15.88,22.68,medium,67.76,54.21,81.32,81.32,88.09,AKC standard PDF
Siberian Husky,M,53.34,59.69,20.41,27.22,medium,74.56,59.65,89.48,89.48,96.93,AKC standard PDF
Yorkshire Terrier,U,17.78,20.32,1.8,3.18,toy,68.61,51.46,85.77,85.77,89.2,AKC breed page
Chihuahua,U,13,20,1.0,3.0,toy,73.46,55.1,91.83,91.83,95.5,FCI/AKC typical
Pomeranian,U,18,24,1.8,3.5,toy,60.09,45.07,75.11,75.11,78.12,AKC typical
Yorkshire Terrier,U,17,23,1.8,3.2,toy,62.5,46.87,78.12,78.12,81.25,AKC typical
Maltese,U,20,23,3.0,4.0,toy,75.72,56.79,94.65,94.65,98.43,AKC typical
Havanese,U,22,29,4.5,7.3,small,90.73,70.77,110.7,110.7,117.95,AKC typical
Papillon,U,20,28,2.5,4.5,toy,60.76,45.57,75.95,75.95,78.99,AKC typical
Pekingese,U,15,23,3.2,6.4,toy,132.96,99.72,166.2,166.2,172.85,AKC typical
Shih Tzu,U,20,28,4.0,7.2,small,97.22,75.83,118.61,118.61,126.39,AKC typical
Toy Poodle,U,24,28,2.5,4.5,toy,51.78,38.83,64.72,64.72,67.31,AKC/FCI typical
Miniature Poodle,U,28,38,7.0,9.0,small,73.46,57.3,89.62,89.62,95.5,AKC/FCI typical
Miniature Pinscher,U,25,30,3.5,5.0,toy,56.2,42.15,70.25,70.25,73.06,AKC typical
Italian Greyhound,U,32,38,3.6,5.0,toy,35.1,26.33,43.88,43.88,45.63,AKC typical
Japanese Chin,U,20,28,2.0,4.0,toy,52.08,39.06,65.1,65.1,67.71,AKC typical
Brussels Griffon,U,18,28,3.0,5.0,toy,75.61,56.71,94.52,94.52,98.3,AKC typical
Chinese Crested,U,23,33,3.2,5.4,toy,54.85,41.14,68.56,68.56,71.3,AKC typical
Cavalier King Charles Spaniel,U,30,33,5.9,8.2,small,71.05,55.42,86.68,86.68,92.37,AKC typical
Pug,U,25,33,6.3,8.1,small,85.61,66.78,104.45,104.45,111.3,AKC typical
French Bulldog,U,27,33,8.0,14.0,medium,122.22,97.78,146.67,146.67,158.89,FCI standard
Boston Terrier,U,38,43,6.8,11.3,small,55.17,43.04,67.31,67.31,71.73,AKC typical
Lhasa Apso,U,25,28,5.4,8.2,small,96.83,75.53,118.13,118.13,125.88,AKC typical
