nombre;categoria;direccion;ciudad;cp;telefono;web;rating;reviews;lat;lng
Canducadores;Adiestrador canino;Las Casillas, 7;Málaga;;667 48 43 05;https://www.canducadores.com/;5;0;;
Anubis Dog School 🐾 Adiestradora de perros;Adiestrador canino;;;;681 93 66 52;https://anubisdogschool.es/servicios;5;0;;
Redes para Gatos;Proveedor de sistemas de seguridad;Poblados Marítimos;Valencia;;620 30 66 16;http://www.redesparagatos.es/;5;0;;
Parque para perros;Parque para perros;14711 Córdoba;14711 Córdoba;;;;5;0;;
Patitas Palma;Peluquero de mascotas;Carrer d'Ausiàs March, 33;Illes Balears;;871 71 73 98;;5;0;;
TRUFA & CO - Luxury Dog Resort & Spa - HOTEL 24hrs, GUARDERÍA, PELUQUERÍA CANINA;Guardería canina;C. de Ibiza, 3;28009 Madrid;;624 22 41 47;http://www.trufaandco.com/;5;0;;
Pet Friendly by Arikel;Adiestrador canino;Calle Lepiota;03699 Alicante;;611 47 70 81;;5;0;;
Ventura’s Dogs / Educador Canino;Adiestrador canino;;;;640 83 24 02;https://www.educadorcani.es/;5;0;;
Hotel-Guardería Canina Ladridos de Lujo;Guardería canina;C. de Flandes, 36F;28030 Madrid;;667 35 97 86;;5;0;;
Tu Perro Habla;Adiestrador canino;;;;686 83 94 57;https://www.tuperrohabla.es/;5;0;;
Papà Perruno;Adiestrador canino;C. Arroyo, 111;41008 Sevilla;;640 17 82 47;;5;0;;
Educandog Adiestramiento Canino;Adiestrador canino;C. Huerto Esquivel;Sevilla;;605 16 33 67;http://www.educandog.es/;5;0;;
Paseador de Perros en Las Palmas;Paseador de perros;;;;;;5;0;;
Fundación Patas Arriba;Fundación;;;;657 40 76 76;http://fundacionpatasarriba.com/;5;0;;
Pomestyle;Criador canino;Ctra. Tocina;Sevilla;;654 24 01 86;https://pomestylesevilla.com/;5;0;;
Comidasanaparamascotas;Servicio de comercio electrónico;C. Héroe de Sostoa, 85;29002 Málaga;;635 18 44 96;;5;0;;
Neacan;Adiestrador canino;03699 Alicante;03699 Alicante;;609 38 38 92;http://www.neacan.es/;5;0;;
Ecaniaa;Adiestrador canino;;;;686 65 93 49;http://www.ecaniaa.com/;5;0;;
Peluquería canina y felina Apolo pet grooming;Peluquería;C/ del Gral. Álvarez de Castro, 23;28010 Madrid;;661 28 28 50;https://www.instagram.com/apolopet.madrid/profilecard/?igsh=MXFhN20wYW05Y3VlYQ==;5;0;;
Guía Canino - Canine Guide - Adiestrador Canino;Adiestrador canino;;;;+57 318 4452912;;5;0;;
STRONG DOGS ADIESTRAMIENTO CANINO;Centro educativo;Avenida Rancagua;Argentina;;+54 351 396-4324;;5;0;;
Peluqueria Canina Espuma;Peluquero de mascotas;Carrer Victoriano Ximénez de Couder, 13;Alicante;;664 10 31 41;;5;0;;
GUAU I MAS;Peluquero de mascotas;Carrer de Santa Eugènia, 36;17005 Girona;;616 64 03 61;;5;0;;
Adopta;Servicio de adopción de mascotas;Avinguda Ridaura, 100;Girona;;;;5;0;;
Jayson’ mini dachshund puppies;Criador canino;25610 Rancho Adobe Rd;Estados Unidos;;+1 414-885-4688;;5;0;;
MimaDogs;Peluquero de mascotas;29730;Málaga;;674 80 95 48;;5;0;;
Montamos tu residencia canina;Servicio de embarque de mascotas;Carrer Poeta Campos Vasallo, 41;Alicante;;677 06 92 61;https://residenciacanina-1.ueniweb.com/?utm_campaign=gmb;5;0;;
MTR Clínica Veterinaria;Veterinario;Zaragoza 513 Ote;México;;+52 828 768 0589;https://instagram.com/mtr.clinicavet?igshid=OGQ5ZDc2ODk2ZA==;5;0;;
Fundación Damas y Vagabundos;Fundación;Carrer de la Gleva, 16;08006 Barcelona;;680 56 59 82;https://www.damasyvagabundos.com/;5;0;;
Peluquería Canina Dogs N' Roses;Peluquero de mascotas;Junto a bar "Me Aptc;Asturias;;684 66 18 12;http://www.dogsandrosesoviedo.com/peluqueria-canina-oviedo-1#;5;0;;
Dogs & Us Training - Adiestramiento canino;Adiestrador canino;Carrer de Vila i Vilà, 49;08004 Barcelona;;625 36 73 35;https://dogsandustraining.com/;5;0;;
Educación canina en grupo;Adiestrador canino;María Ortiz;41010 Sevilla;;657 22 32 02;;5;0;;
En Clave de Can - Adiestramiento Canino en Zaragoza;Adiestrador canino;;;;722 48 81 86;https://enclavedecan.com/?utm_source=google&utm_medium=maps&utm_campaign=gmb-web;5;0;;
Lifestyle Belleza Canina;Peluquero de mascotas;Avinguda de la Diagonal, 3;Alicante;;633 93 19 88;https://www.instagram.com/lifestylebellezacanina/;5;0;;
S.O.S. Educación Canina;Adiestrador canino;Edificio Esmeralda;Málaga;;604 29 08 91;https://soseducacioncanina.com/;5;0;;
Educarmiperroya Educador canino;Adiestrador canino;;;;659 86 12 58;https://www.educarmiperroya.com/;5;0;;
Entrénalos;Adiestrador canino;;;;+52 55 1843 3992;;5;0;;
M3 Espacio De Mascota;Tienda de productos para mascotas;C. del Alcalde Alfonso de Rojas, 3;03004 Alicante;;614 20 92 05;http://6776aa9ccee1f.site123.me/;5;0;;
Psicóloga Canina Eva Balaguer;Adiestrador canino;Carrer de l'Arquebisbe Company;Valencia;;660 73 33 98;https://www.instagram.com/eva.psicologacanina;5;0;;
Perro Equilibrado;Adiestrador canino;;;;660 03 76 83;https://www.perroequilibrado.com/;5;0;;
Adiestramiento canino Mallorca - Educación Canina Con Empatía;Adiestrador canino;Carrer del General Riera, 112;Illes Balears;;653 34 65 05;http://www.educacioncaninaconempatia.com/;5;0;;
Fidos Playground;Cuidador de mascotas;Carrer de Guàrdia, 14;08001 Barcelona;;604 10 01 33;https://fidosplayground.com/;5;0;;
Legacy Paws;Peluquería;Carrer de la Barca, 3;17004 Girona;;695 68 92 72;https://legacypaws.bookgy.com/;5;0;;
Paseos Mala&Joy;Paseador de perros;Carrer del dos de Maig, 198;08013 Barcelona;;645 40 37 09;https://www.instagram.com/puppies.oftheworld?igsh=MWZxbXU3c29teWNjcw==;5;0;;
Veterinaria Pe'ek;Veterinario;Carr. de Juárez 356;México;;+52 656 111 2030;https://www.facebook.com/share/FQx9NFLkVSuMayL3/?mibextid=qi2Omg;5;0;;
SANA WildLand;Guardería canina;Calle Pintor Sorolla, Urb;Valencia;;617 51 92 39;http://www.sanawildland.es/;5;0;;
Dos Adiestramiento Barcelona - Adiestramiento canino;Adiestrador canino;Carrer de Ferran, 14, 2º 2;08002 Barcelona;;628 04 03 37;https://dosadiestramiento.com/;5;0;;
Adiestramiento Canino Cartagena/Murcia;Adiestrador canino;Av. de Venecia;Murcia;;633 29 37 60;;5;0;;
RehabilitaCans;Veterinario;Carrer de Juan Gris, 77, Loc 6;Balearic Islands;;606 78 32 83;http://www.rehabilitacans.com/;5;0;;
vinculocanino;Adiestrador canino;08901 L'Hospitalet de Llobregat;Barcelona;;660 20 14 94;http://www.vinculocanino.com/;5;0;;
KinaCan;Adiestrador canino;;;;;;5;0;;
Trufdog - Adiestrador canino;Adiestrador canino;;;;686 72 41 34;https://trufdog.com/;5;0;;
WowDog - Adiestrador Canino;Adiestrador canino;;;;651 41 28 13;;5;0;;
AuuuKan Peluqueria Canina;Peluquero de mascotas;Avinguda de la Granvia de l’Hospitalet, 33, Loc 3;Barcelona;;;https://aukan.es/;5;0;;
Yes YouCan educació canina by Xavi Burgos;Adiestrador canino;;;;676 45 67 25;https://www.yesyoucan.cat/;5;0;;
Guarderia canina joselyne;Guardería canina;Carrer Pedrells, 28;Girona;;;;5;0;;
GeboCan;Adiestrador canino;;;;661 86 23 00;https://www.gebocan.com/;5;0;;
Romina Gallo, corrección de conductas, educación canina. Modalidad virtual.;Entrenador de mascotas;;;;+54 351 835-4095;https://www.patreon.com/cw/DiadePerros;5;0;;
Scentdogs;Adiestrador canino;camilo jose cela, n70;Las Palmas;;683 32 66 17;;5;0;;
FIREMOUTH AQUARISTIC;Tienda de acuarios;C. Martin Luther King, 7;03010 Alicante;;647 29 99 36;https://firemouthaquaristic.com/;5;0;;
Cole de Canes;Adiestrador canino;C. de Oña, 157;28050 Madrid;;649 29 17 79;http://www.coledecanes.com/;5;0;;
Connectingdog;Adiestrador canino;La Falaguera n1A;46118 Valencia;;615 13 63 02;https://www.connectingdog.com/;5;0;;
Yoda Mascotas;Tienda de animales;C. Castillejo, 2;Valladolid;;697 51 97 64;;5;0;;
Estética Canina, VAQUERO;Peluquería;De Las Flores 98;México;;+52 686 230 6138;;5;0;;
Adiestradora de perros Cristina Mascarós;Adiestrador canino;Carrer de la Roella, 43;Girona;;607 24 16 05;https://www.instagram.com/cristina_mascaros/;5;0;;
Escuela Canina Argocan;Adiestrador canino;Paraje llano de los pinos;Murcia;;626 38 38 23;https://argocan.com/;5;0;;
Dogcheca adiestrador canino;Adiestrador canino;41927 Mairena del Aljarafe;Sevilla;;657 22 32 02;;5;0;;
Madridcan;Adiestrador canino;;;;654 42 08 08;;5;0;;
Déjale Ser Perro. Adiestramiento canino;Adiestrador canino;;;;681 90 40 47;;5;0;;
Guardería canina Gran Canaria I Dog You;Guardería canina;;;;627 00 11 41;https://temp-ulrggppoislnhcqqlodu.webadorsite.com/;5;0;;
Torres Murcia;Criador canino;Campo de Arriba;Murcia;;613 63 34 21;https://torresmurcia.com/;5;0;;
XXIX dog club;Adiestrador canino;Av. las Quemadas;14014 Córdoba;;635 39 10 80;https://www.facebook.com/share/1DcdLYiaBW/?mibextid=wwXIfr;5;0;;
Parque para perros;Parque;Sants-Montjuïc;08038 Barcelona;;;;5;0;;
Sawubona Veterinario a domicilio;Veterinario;;;;600 89 27 63;https://www.sawubonavet.es/;5;0;;
IsCan Educación Canina;Adiestrador canino;Carrer del Fondo, 4;Alicante;;624 45 26 98;http://iscaneducanina.es/;5;0;;
